numunique,time
39,0.147346
27,0.112391
20,0.090249
19,0.087184
18,0.08476
21,0.094938
20,0.087534
10,0.059381
7,0.049784
13,0.068569
10,0.060894
9,0.056917
23,0.102181
22,0.099918
14,0.073218
19,0.089899
16,0.078197
11,0.064641
23,0.102863
15,0.074159
18,0.087885
29,0.115406
29,0.118813
33,0.130705
23,0.100518
44,0.167555
64,0.219702
62,0.221987
125,0.403879
110,0.359044
108,0.350899
93,0.310012
71,0.242716
67,0.231565
54,0.19685
43,0.155613
29,0.114706
21,0.091832
13,0.068649
6,0.048131
32,0.12268
8,0.054262
13,0.068789
36,0.139562
18,0.083457
31,0.123302
11,0.062708
15,0.074279
26,0.105729
21,0.094918
37,0.135785
28,0.118122
18,0.084268
37,0.14335
27,0.11225
35,0.135054
27,0.116518
17,0.081493
48,0.168316
28,0.110437
14,0.071474
28,0.111129
61,0.213682
24,0.103905
10,0.059773
37,0.145714
51,0.180809
26,0.106781
31,0.133421
19,0.091542
21,0.102432
17,0.086573
13,0.073769
19,0.096681
19,0.091572
10,0.065243
8,0.057769
19,0.092934
22,0.104596
17,0.089849
25,0.113172
12,0.070372
13,0.075632
13,0.071955
8,0.060243
12,0.070091
12,0.071364
14,0.077335
24,0.113964
10,0.06348
15,0.084548
8,0.05839
14,0.077706
10,0.064831
8,0.058189
10,0.062077
13,0.071775
14,0.078648
12,0.071534
15,0.080731
14,0.078517
18,0.091131
14,0.079049
21,0.103074
15,0.081814
16,0.083658
30,0.132379
21,0.100258
16,0.081593
23,0.108714
18,0.088767
21,0.102473
22,0.103514
23,0.103634
8,0.054402
19,0.095479
9,0.059582
18,0.088897
18,0.087675
10,0.062948
24,0.109134
34,0.136686
10,0.063269
23,0.103565
21,0.097904
19,0.09057
21,0.096301
15,0.078467
19,0.088025
23,0.103785
22,0.10124
19,0.091362
17,0.221085
20,0.100047
15,0.081663
25,0.111098
47,0.184396
15,0.079248
32,0.139993
31,0.130866
20,0.094888
28,0.119805
21,0.096611
50,0.191409
41,0.162275
18,0.088055
32,0.132499
23,0.10647
24,0.109916
29,0.123923
21,0.098535
23,0.106189
10,0.062287
12,0.069511
13,0.070252
18,0.082095
35,0.143399
12,0.068298
42,0.164659
12,0.069891
12,0.069641
19,0.094517
11,0.066465
16,0.085992
12,0.073928
25,0.111409
11,0.066054
24,0.106851
11,0.065112
18,0.092624
18,0.087615
13,0.072215
36,0.146966
37,0.148028
20,0.097824
25,0.110999
28,0.123652
19,0.092935
20,0.096551
19,0.093055
14,0.077265
14,0.076424
31,0.130776
32,0.136536
11,0.066796
21,0.1012
32,0.135524
13,0.072917
8,0.057398
21,0.097222
18,0.091692
18,0.090009
26,0.116599
22,0.108704
17,0.08494
24,0.116609
82,0.291988
53,0.202831
37,0.149571
20,0.094688
34,0.146555
41,0.157486
44,0.173696
22,0.097613
31,0.135805
80,0.282681
50,0.191299
30,0.128872
25,0.109696
15,0.081252
78,0.279484
171,0.58021
68,0.256762
88,0.310483
70,0.261872
73,0.274154
23,0.105218
35,0.148939
46,0.178285
38,0.156554
28,0.122891
27,0.124164
71,0.267312
59,0.219983
92,0.323828
69,0.261892
71,0.26131
83,0.302939
64,0.241323
96,0.345408
81,0.292669
72,0.268955
86,0.312467
71,0.263444
89,0.324599
89,0.322055
103,0.364204
74,0.269145
94,0.332314
68,0.252985
110,0.386847
84,0.306235
84,0.30874
100,0.350678
79,0.279996
84,0.295184
106,0.362511
148,0.490932
96,0.334228
91,0.317646
111,0.377739
109,0.368772
152,0.496161
159,0.526909
113,0.39397
87,0.300955
49,0.182883
74,0.265037
113,0.377228
156,0.51118
182,0.590939
108,0.364023
92,0.316173
110,0.374924
108,0.361679
75,0.264657
101,0.347071
106,0.352111
97,0.333817
103,0.351179
91,0.315151
65,0.236865
57,0.20741
55,0.2081
59,0.209654
45,0.166222
96,0.317967
70,0.244429
65,0.229321
136,0.418286
109,0.352382
69,0.237215
64,0.226305
90,0.294843
83,0.272502
52,0.183464
69,0.237797
71,0.237355
53,0.187382
54,0.184316
54,0.18676
67,0.22398
61,0.208802
78,0.257333
66,0.221146
99,0.316755
48,0.171763
121,0.374303
52,0.178295
48,0.168436
127,0.403217
69,0.235232
67,0.228098
102,0.331593
87,0.282931
