numunique,time
19,0.178725
7,0.174137
14,0.182042
9,0.17582
12,0.173646
8,0.172965
24,0.176541
13,0.173976
313,0.178926
106,0.174368
125,0.179798
45,0.177634
78,0.175841
77,0.175008
68,0.174147
12,0.175299
62,0.179718
40,0.174278
12,0.174047
4,0.175289
36,0.174377
12,0.181
17,0.178775
56,0.178095
234,0.180308
158,0.174999
173,0.179558
120,0.174077
242,0.302788
475,0.176
132,0.174358
472,0.176922
161,0.182653
272,0.183635
163,0.173596
185,0.175519
127,0.173976
102,0.179127
110,0.174478
90,0.174728
43,0.176141
58,0.178214
53,0.179467
49,0.175118
31,0.1758
27,0.174057
21,0.174267
45,0.178566
277,0.188744
141,0.175129
313,0.177514
184,0.177814
184,0.176392
160,0.182583
150,0.174097
131,0.173606
52,0.177684
106,0.174107
80,0.173896
120,0.17561
163,0.175389
102,0.177844
62,0.173485
106,0.174527
158,0.182092
117,0.174608
115,0.185047
117,0.176822
70,0.174789
113,0.17568
138,0.176822
233,0.174848
228,0.18113
222,0.175329
228,0.177533
234,0.17576
177,0.179267
177,0.176591
190,0.174488
174,0.176621
150,0.176241
132,0.177172
87,0.174438
71,0.18142
61,0.174628
119,0.176251
82,0.174067
96,0.177564
207,0.174487
456,0.176001
524,0.176291
495,0.176311
452,0.17543
480,0.178055
407,0.181381
432,0.174397
544,0.181211
598,0.181561
591,0.184196
609,0.363583
591,0.177954
591,0.177243
556,0.182312
572,0.177213
628,0.17606
502,0.17588
433,0.178394
462,0.177403
578,0.17605
683,0.176822
525,0.182352
466,0.176531
581,0.177984
422,0.177523
463,0.176621
679,0.175851
413,0.176392
218,0.177323
318,0.180318
256,0.178255
325,0.17578
367,0.177203
310,0.174237
209,0.177523
245,0.177904
375,0.177112
241,0.177193
390,0.177484
216,0.177543
204,0.177424
154,0.177243
104,0.176992
119,0.18102
123,0.174548
214,0.177292
94,0.176471
135,0.179076
102,0.176652
104,0.176231
148,0.176491
127,0.174207
94,0.174548
105,0.176732
106,0.176802
227,0.178925
216,0.1756
67,0.176672
196,0.17581
128,0.177443
251,0.182723
280,0.176291
183,0.176091
220,0.178074
220,0.176151
227,0.177823
170,0.184346
180,0.177593
234,0.178115
197,0.183084
307,0.176672
253,0.184706
394,0.177102
273,0.177824
251,0.179156
209,0.178064
371,0.178004
289,0.180349
208,0.178155
194,0.17572
299,0.181912
303,0.178996
208,0.177453
206,0.177533
147,0.177173
215,0.176
173,0.177723
119,0.175699
78,0.176441
103,0.174678
77,0.176642
55,0.176832
56,0.176792
61,0.177032
61,0.176882
23,0.183074
70,0.178555
103,0.176431
80,0.177383
96,0.178535
84,0.174317
65,0.18131
127,0.176381
92,0.179968
76,0.174789
83,0.178656
63,0.176021
52,0.177414
88,0.177454
119,0.188353
154,0.176692
185,0.175129
189,0.1756
179,0.176391
153,0.182132
431,0.176721
341,0.177734
413,0.174678
279,0.183424
229,0.181731
212,0.176993
180,0.177794
155,0.178445
252,0.177714
282,0.174728
274,0.17567
147,0.17569
227,0.176021
233,0.176671
302,0.182243
