idx,time
1136,0.00279461
1137,0.00273146
1138,0.0027466
1139,0.00274868
1140,0.00280895
1141,0.00284064
1142,0.00281956
1143,0.0028412
1144,0.00292624
1145,0.00301924
1146,0.00292687
1147,0.00287057
1148,0.00291827
1149,0.00285346
1150,0.00284278
1151,0.00283366
1152,0.00284358
1153,0.0027748
1154,0.00280737
1155,0.00280345
1156,0.00299159
1157,0.00300063
1158,0.0028203
1159,0.00288533
1160,0.00284591
1161,0.00286442
1162,0.00292695
1163,0.00289338
1164,0.00293892
1165,0.00304624
1166,0.00301388
1167,0.00302426
1168,0.00303831
1169,0.00311086
1170,0.00310951
1171,0.00312483
1172,0.00309593
1173,0.00318712
1174,0.00311033
1175,0.00321204
1176,0.00310329
1177,0.00306823
1178,0.00319969
1179,0.00305388
1180,0.00312855
1181,0.00318349
1182,0.00316595
1183,0.00313348
1184,0.00315599
1185,0.00316201
1186,0.00317245
1187,0.00324856
1188,0.00326147
1189,0.00319036
1190,0.00323264
1191,0.00342808
1192,0.00331636
1193,0.0033645
1194,0.00352565
1195,0.00330961
1196,0.00341496
1197,0.0034887
1198,0.00335109
1199,0.00334094
1200,0.00331486
1201,0.00363633
1202,0.00364026
1203,0.00332363
1204,0.00352348
1205,0.00346551
1206,0.00342083
1207,0.00367021
1208,0.00365498
1209,0.00354188
1210,0.00339651
1211,0.00340859
1212,0.0033702
1213,0.00347875
1214,0.00343607
1215,0.00323679
1216,0.00339571
1217,0.00333968
1218,0.00322179
1219,0.00328605
1220,0.00327216
1221,0.003288
1222,0.0032103
1223,0.00336164
1224,0.00321002
1225,0.00324868
1226,0.0031788
1227,0.00322882
1228,0.0032729
1229,0.00309853
1230,0.00317043
1231,0.00315284
1232,0.00311479
1233,0.00307586
1234,0.00312665
1235,0.00310622
1236,0.00308442
1237,0.00312406
1238,0.00312371
1239,0.00318588
1240,0.00319642
1241,0.00315016
1242,0.00312419
1243,0.00309824
1244,0.00313054
1245,0.00311619
1246,0.00303866
1247,0.00319266
1248,0.00316852
1249,0.00318949
1250,0.00323985
1251,0.00329094
1252,0.00346579
1253,0.00342155
1254,0.00386185
1255,0.00370989
1256,0.00363445
1257,0.00349029
1258,0.00359187
1259,0.0037554
1260,0.0034975
1261,0.00340944
1262,0.00350999
1263,0.00355338
1264,0.00350977
1265,0.00348119
1266,0.00349159
1267,0.00332946
1268,0.00341165
1269,0.00366351
1270,0.00335925
1271,0.00362523
1272,0.00340029
1273,0.00338252
1274,0.00351687
1275,0.00338174
1276,0.00349578
1277,0.00336984
1278,0.00325445
1279,0.00330845
1280,0.00344111
1281,0.00363961
1282,0.00368959
1283,0.00336834
1284,0.00317721
1285,0.00347233
1286,0.00329574
1287,0.00311219
1288,0.003075
1289,0.00316931
1290,0.00303789
1291,0.00328256
1292,0.00312757
1293,0.00325697
1294,0.00317084
1295,0.00310824
1296,0.00332454
1297,0.00306572
1298,0.00342362
1299,0.00307836
1300,0.00315546
1301,0.00316347
1302,0.00311365
1303,0.00311365
1304,0.00337947
1305,0.00337661
1306,0.00313832
1307,0.00344666
1308,0.0031406
1309,0.00338714
1310,0.00335427
1311,0.00340275
1312,0.00313464
1313,0.00331706
1314,0.00303017
1315,0.00302919
1316,0.00328293
1317,0.00326963
1318,0.00319923
1319,0.00324134
1320,0.0032575
1321,0.00320075
1322,0.00316182
1323,0.0032244
1324,0.00318486
1325,0.00318102
1326,0.00319686
1327,0.00314818
1328,0.00313304
1329,0.00295716
1330,0.00291387
1331,0.00296667
1332,0.00286671
1333,0.00288974
1334,0.00312204
1335,0.00298693
1336,0.0029912
1337,0.0030895
1338,0.00314063
1339,0.00323146
1340,0.00295432
1341,0.00291347
1342,0.00310671
1343,0.00297563
1344,0.00293803
1345,0.00298765
1346,0.00294819
1347,0.00288083
1348,0.00295101
1349,0.00298952
1350,0.00295666
1351,0.00290161
1352,0.00294515
1353,0.00313694
1354,0.00301635
1355,0.00315927
1356,0.0029956
1357,0.00291942
1358,0.00316409
1359,0.00290998
1360,0.0028825
1361,0.00297308
1362,0.00292156
1363,0.00282105
1364,0.00293743
1365,0.00302167
1366,0.0028772
1367,0.00277168
1368,0.00300203
1369,0.0031001
1370,0.00302925
1371,0.00297205
1372,0.0027798
1373,0.00306843
1374,0.00285674
1375,0.00295534
1376,0.00301749
1377,0.00302278
1378,0.00293942
1379,0.00292865
1380,0.00298386
1381,0.00298898
1382,0.00293954
1383,0.00305558
1384,0.00313305
1385,0.00272166
1386,0.00297925
1387,0.00281283
1388,0.0030521
1389,0.00359453
1390,0.00325299
1391,0.00332792
1392,0.00321251
1393,0.00334589
1394,0.00302308
1395,0.00329803
1396,0.00379693
1397,0.00356754
1398,0.00308179
1399,0.00360877
1400,0.00304777
1401,0.00310758
1402,0.00334843
1403,0.003412
1404,0.00298067
1405,0.00309061
1406,0.00305399
1407,0.00304831
1408,0.00313041
1409,0.0030819
1410,0.00297342
1411,0.00322995
1412,0.00293415
1413,0.00310902
1414,0.00315328
1415,0.00354999
1416,0.00298426
1417,0.00325049
1418,0.00324824
1419,0.00308176
1420,0.00288868
1421,0.00302094
1422,0.0030703
1423,0.0028446
